ID,Name,Age,Height,Weight,Gender,Income,Scores
1,Person_3_1,25,161.0,93.6,Male,59386.0,97.0
2,Person_3_2,33,174.8,80.8,Male,71145.0,77.0
3,Person_3_3,57,195.0,95.2,Female,99707.0,76.0
4,Person_3_4,32,187.3,71.2,Female,31203.0,63.0
5,Person_3_5,42,152.0,96.4,Female,58846.0,65.0
6,Person_3_6,41,199.4,98.2,Male,52201.0,99.0
7,Person_3_7,40,193.3,71.7,Male,64016.0,72.0
8,Person_3_8,30,171.9,51.8,Female,33587.0,54.0
9,Person_3_9,43,172.8,51.3,Female,27407.0,59.0
10,Person_3_10,69,169.6,51.0,Male,44123.0,57.0
11,Person_3_11,36,176.9,97.6,Female,49549.0,95.0
12,Person_3_12,63,195.3,87.0,Male,81993.0,
13,Person_3_13,48,156.6,67.2,Male,68840.0,92.0
14,Person_3_14,62,189.8,98.5,Female,60751.0,57.0
15,Person_3_15,34,183.8,72.7,Male,97068.0,58.0
16,Person_3_16,24,160.7,77.0,Female,38215.0,54.0
17,Person_3_17,23,194.1,66.9,Female,71160.0,
18,Person_3_18,35,175.9,95.1,Female,,50.0
19,Person_3_19,29,192.8,58.2,Male,27133.0,61.0
20,Person_3_20,24,166.2,58.4,Female,54627.0,67.0
21,Person_3_21,69,152.9,79.1,Male,,57.0
22,Person_3_22,30,185.1,75.2,Male,99072.0,62.0
23,Person_3_23,58,192.7,66.3,Female,88834.0,80.0
24,Person_3_24,22,195.7,50.1,Male,95274.0,54.0
25,Person_3_25,42,192.2,52.9,Male,40759.0,98.0
26,Person_3_26,30,186.1,73.7,Female,70740.0,55.0
27,Person_3_27,19,168.8,74.9,Male,61763.0,57.0
28,Person_3_28,19,188.0,64.5,Male,30609.0,
29,Person_3_29,52,166.5,98.7,Male,57893.0,
30,Person_3_30,64,181.8,84.9,Female,35617.0,74.0
31,Person_3_31,19,178.9,74.0,Male,27107.0,80.0
32,Person_3_32,51,175.1,99.8,Female,99535.0,90.0
33,Person_3_33,56,154.2,71.3,Female,79282.0,58.0
34,Person_3_34,60,177.5,98.0,Female,67015.0,
35,Person_3_35,46,155.6,94.0,Female,29530.0,86.0
36,Person_3_36,48,190.6,74.2,Male,,63.0
37,Person_3_37,33,167.8,73.9,Female,87339.0,99.0
38,Person_3_38,63,178.1,57.8,Male,59355.0,98.0
39,Person_3_39,49,179.3,51.7,Female,59848.0,54.0
40,Person_3_40,34,150.3,91.2,Male,52228.0,84.0
41,Person_3_41,27,187.6,65.7,Female,23969.0,
42,Person_3_42,20,166.4,66.3,Female,31448.0,64.0
43,Person_3_43,35,168.6,70.8,Female,34493.0,88.0
44,Person_3_44,44,161.2,93.3,Male,64003.0,71.0
45,Person_3_45,24,157.6,50.7,Female,69545.0,64.0
46,Person_3_46,67,178.5,95.9,Male,92650.0,88.0
47,Person_3_47,68,182.2,62.1,Male,62190.0,81.0
48,Person_3_48,44,176.1,50.4,Male,43061.0,
49,Person_3_49,61,177.2,97.6,Male,28014.0,63.0
50,Person_3_50,33,196.6,94.1,Female,66724.0,89.0
51,Person_3_51,19,184.8,62.1,Male,57673.0,93.0
52,Person_3_52,65,173.8,84.3,Male,81097.0,59.0
53,Person_3_53,69,179.4,75.9,Female,93595.0,70.0
54,Person_3_54,30,198.4,68.0,Male,,
55,Person_3_55,66,186.0,54.5,Male,30105.0,65.0
56,Person_3_56,60,169.9,59.9,Female,47041.0,66.0
57,Person_3_57,67,164.7,97.2,Male,37134.0,64.0
58,Person_3_58,58,188.8,69.8,Male,72213.0,83.0
59,Person_3_59,45,161.8,77.4,Female,51758.0,81.0
60,Person_3_60,54,173.2,63.3,Male,,85.0
61,Person_3_61,59,187.0,54.9,Female,40107.0,65.0
62,Person_3_62,27,151.9,72.4,Male,42901.0,73.0
63,Person_3_63,61,190.1,60.0,Male,72719.0,75.0
64,Person_3_64,58,162.1,64.0,Female,44801.0,
65,Person_3_65,65,158.1,78.1,Male,28794.0,66.0
66,Person_3_66,53,191.4,82.6,Male,,55.0
67,Person_3_67,38,152.6,57.7,Female,,77.0
68,Person_3_68,23,198.8,69.6,Female,93119.0,81.0
69,Person_3_69,51,165.0,53.9,Female,46941.0,52.0
70,Person_3_70,23,153.6,80.7,Female,69619.0,51.0
71,Person_3_71,59,158.4,83.0,Female,81334.0,50.0
72,Person_3_72,50,170.9,76.7,Female,74536.0,67.0
73,Person_3_73,59,175.8,86.1,Male,63942.0,57.0
74,Person_3_74,47,179.9,97.2,Male,23853.0,56.0
75,Person_3_75,54,151.0,57.5,Female,23556.0,69.0
76,Person_3_76,37,192.9,88.6,Male,79333.0,67.0
77,Person_3_77,59,157.9,83.7,Male,93499.0,74.0
78,Person_3_78,63,194.6,55.6,Male,95236.0,70.0
79,Person_3_79,31,183.9,99.6,Male,77859.0,52.0
80,Person_3_80,27,160.6,55.4,Female,83586.0,68.0
81,Person_3_81,32,151.2,57.2,Male,43991.0,88.0
82,Person_3_82,50,164.5,99.4,Male,,
83,Person_3_83,57,189.1,70.9,Female,38033.0,87.0
84,Person_3_84,50,161.0,65.9,Female,44573.0,80.0
85,Person_3_85,41,184.2,61.9,Male,41865.0,68.0
86,Person_3_86,65,177.6,98.7,Male,75124.0,74.0
87,Person_3_87,65,189.5,64.3,Male,28378.0,73.0
88,Person_3_88,51,184.3,52.6,Female,94391.0,70.0
89,Person_3_89,48,178.4,62.7,Female,21960.0,79.0
90,Person_3_90,56,176.0,75.5,Male,38680.0,94.0
91,Person_3_91,49,167.9,95.9,Female,90920.0,86.0
92,Person_3_92,67,175.3,57.6,Female,34313.0,50.0
93,Person_3_93,33,178.9,88.6,Male,68663.0,72.0
94,Person_3_94,42,171.5,62.2,Male,56889.0,68.0
95,Person_3_95,63,181.9,83.8,Male,92319.0,56.0
96,Person_3_96,62,190.8,77.0,Female,99512.0,82.0
97,Person_3_97,60,154.0,62.0,Male,20119.0,87.0
98,Person_3_98,40,183.7,66.6,Male,60012.0,66.0
99,Person_3_99,52,188.7,50.6,Male,,66.0
100,Person_3_100,54,173.4,51.6,Male,,72.0
